time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
443769958912,12,9495.199999999999,,0.17578125,89,0
443769959168,11,9495.199999999999,,0.0859375,94,0
443769959424,11,9495.199999999999,,0.1015625,97,0
443769959680,11,9495.199999999999,,0.078125,101,0
443769959936,11,10743.519999999999,,0.05859375,104,0
443769960192,11,10743.519999999999,,0.04296875,105,0
443769960448,11,10743.519999999999,,0.1171875,105,0
443769960704,11,10743.519999999999,,0.015625,106,0
443769960960,11,10743.519999999999,,0.0,107,0
443769961216,11,11593.439999999999,,0.0,108,0
443769961472,12,11593.439999999999,,0.0,108,0
443769961728,12,11593.439999999999,,0.015625,108,0
443769961984,12,11593.439999999999,,0.01953125,108,0
443769962240,12,11593.439999999999,,0.109375,106,0
443769962496,11,11593.439999999999,,0.03515625,105,0
443769962752,11,11593.439999999999,,0.18359375,104,0
443769963008,11,11593.439999999999,,0.0703125,104,0
443769963264,11,11593.439999999999,,0.05859375,104,0
443769963520,12,14448.64,,0.1484375,104,0
443769963776,12,14448.64,,0.12890625,104,0
443769964032,13,14448.64,,0.06640625,104,0
443769964288,13,14448.64,,0.140625,104,0
443769964544,13,15378.24,,0.0859375,104,0
443769964800,13,15378.24,,0.03125,103,0
443769965056,14,16002.4,,0.109375,102,0
443769965312,14,16002.4,,0.11328125,101,0
443769965568,14,16002.4,,0.09375,101,0
443769965824,14,16002.4,,0.0703125,100,0
443769966080,14,16932.0,,0.02734375,99,0
443769966336,14,16932.0,,0.015625,97,0
443769966592,14,16932.0,,0.02734375,96,0
443769966848,15,16932.0,,0.03125,95,0
443769967104,15,16932.0,,0.03515625,95,0
443769967360,15,16932.0,,0.01953125,98,0
443769967616,14,14554.88,,0.05859375,100,0
443769967872,14,14554.88,,0.1171875,99,0
443769968128,14,14554.88,,0.09765625,99,0
443769968384,14,14554.88,,0.05078125,99,0
443769968640,14,13293.279999999999,,0.06640625,101,0
443769968896,14,13293.279999999999,,0.03125,103,0
443769969152,14,13293.279999999999,,0.109375,103,0
443769969408,15,15630.56,,0.1015625,104,0
443769969664,15,15630.56,,0.05078125,103,0
443769969920,15,15630.56,,0.0703125,103,0
443769970176,15,15630.56,,0.12890625,105,0
443769970432,15,15630.56,,0.203125,107,0
443769970688,15,15630.56,,0.15625,108,0
443769970944,15,17622.559999999998,,0.1171875,106,0
443769971200,15,17622.559999999998,,0.11328125,105,0
443769971456,15,17622.559999999998,,0.1484375,104,0
443769971712,14,17622.559999999998,,0.23046875,103,0
