time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
443769938432,9,16799.2,,0.01953125,75,0
443769938688,9,16799.2,,0.015625,75,0
443769938944,9,16799.2,,0.0,74,0
443769939200,9,15869.599999999999,,0.015625,73,0
443769939456,9,15869.599999999999,,0.015625,73,0
443769939712,8,15869.599999999999,,0.015625,73,0
443769939968,8,15869.599999999999,,0.0,72,0
443769940224,8,15869.599999999999,,0.0,72,0
443769940480,8,15869.599999999999,,0.015625,72,0
443769940736,8,15869.599999999999,,0.015625,72,0
443769940992,8,14820.48,,0.015625,72,0
443769941248,8,14820.48,,0.015625,72,0
443769941504,8,14820.48,,0.01953125,71,0
443769941760,8,14820.48,,0.0234375,70,0
443769942016,8,13492.48,,0.015625,69,0
443769942272,8,13492.48,,0.0234375,68,0
443769942528,8,13492.48,,0.0546875,69,0
443769942784,8,13492.48,,0.140625,70,0
443769943040,8,13492.48,,0.09375,71,0
443769943296,8,13492.48,,0.17578125,72,0
443769943552,8,13492.48,,0.12890625,72,0
443769943808,8,13492.48,,0.09375,72,0
443769944064,8,14129.92,,0.03515625,73,0
443769944320,8,14129.92,,0.05859375,75,0
443769944576,8,14129.92,,0.0390625,76,0
443769944832,8,14129.92,,0.02734375,78,0
443769945088,8,14129.92,,0.015625,79,0
443769945344,8,14129.92,,0.015625,82,0
443769945600,8,14129.92,,0.01953125,83,0
443769945856,8,14129.92,,0.01953125,85,0
443769946112,8,14129.92,,0.0234375,86,0
443769946368,8,14129.92,,0.01953125,86,0
443769946624,8,14129.92,,0.01953125,85,0
443769946880,8,14129.92,,0.015625,84,0
443769947136,8,12058.24,,0.015625,83,0
443769947392,8,12058.24,,0.015625,83,0
443769947648,8,12058.24,,0.015625,83,0
443769947904,8,12058.24,,0.015625,83,0
443769948160,8,14023.679999999998,,0.0234375,81,0
443769948416,8,14023.679999999998,,0.015625,81,0
443769948672,8,14023.679999999998,,0.05078125,81,0
443769948928,8,14023.679999999998,,0.05078125,81,0
443769949184,8,14023.679999999998,,0.0390625,82,0
443769949440,8,14023.679999999998,,0.0859375,84,0
443769949696,8,14023.679999999998,,0.03125,85,0
443769949952,8,14023.679999999998,,0.0703125,87,0
443769950208,8,14023.679999999998,,0.03125,88,0
443769950464,8,15736.8,,0.0234375,88,0
443769950720,9,15736.8,,0.0234375,88,0
443769950976,9,15736.8,,0.03515625,88,0
443769951232,10,18047.52,,0.0234375,88,0
443769951488,10,18047.52,,0.10546875,88,0
443769951744,10,18047.52,,0.1171875,86,0
443769952000,10,17516.32,,0.13671875,86,0
443769952256,11,17516.32,,0.22265625,85,0
443769952512,11,17516.32,,0.20703125,84,0
443769952768,11,17516.32,,0.21484375,83,0
443769953024,11,18180.32,,0.1171875,82,0
443769953280,12,18180.32,,0.15234375,82,0
443769953536,12,18180.32,,0.04296875,82,0
443769953792,12,18180.32,,0.04296875,82,0
443769954048,12,18180.32,,0.1015625,83,0
443769954304,12,18180.32,,0.0703125,84,0
443769954560,12,25218.719999999998,,0.03515625,85,0
443769954816,13,25218.719999999998,,0.03515625,86,0
443769955072,14,25218.719999999998,,0.03515625,86,0
443769955328,14,23943.84,,0.03125,85,0
443769955584,15,23943.84,,0.03515625,85,0
443769955840,15,23943.84,,0.02734375,85,0
443769956096,15,20889.44,,0.078125,85,0
443769956352,15,20889.44,,0.02734375,85,0
443769956608,15,20889.44,,0.03125,84,0
443769956864,15,18206.879999999997,,0.02734375,83,0
443769957120,16,18206.879999999997,,0.05078125,83,0
443769957376,16,18206.879999999997,,0.02734375,82,0
443769957632,16,17941.28,,0.03515625,81,0
443769957888,17,17941.28,,0.03515625,79,0
443769958144,17,19694.239999999998,,0.05078125,78,0
443769958400,17,19694.239999999998,,0.08984375,77,0
443769958656,17,19694.239999999998,,0.078125,75,0
443769958912,17,19694.239999999998,,0.01953125,74,0
443769959168,17,21580.0,,0.02734375,72,0
443769959424,17,21580.0,,0.01953125,71,0
443769959680,17,21580.0,,0.0703125,72,0
443769959936,18,18791.2,,0.10546875,73,0
443769960192,19,18791.2,,0.046875,73,0
443769960448,20,18791.2,,0.03125,73,0
443769960704,21,18791.2,,0.046875,73,0
443769960960,21,18791.2,,0.03125,73,0
443769961216,20,19003.68,,0.0390625,72,0
443769961472,19,19003.68,,0.06640625,72,0
443769961728,18,19003.68,,0.0234375,72,0
443769961984,18,19003.68,,0.09765625,73,0
443769962240,18,19003.68,,0.0234375,75,0
443769962496,18,24196.16,,0.01953125,76,0
443769962752,17,24196.16,,0.03515625,77,0
443769963008,17,24196.16,,0.01953125,77,0
443769963264,17,24196.16,,0.046875,77,0
443769963520,17,24196.16,,0.0234375,76,0
443769963776,17,24196.16,,0.02734375,76,0
443769964032,17,24196.16,,0.015625,75,0
443769964288,17,24196.16,,0.01953125,75,0
443769964544,17,24196.16,,0.03125,75,0
443769964800,17,24196.16,,0.03125,75,0
443769965056,17,24196.16,,0.01953125,75,0
443769965312,17,24196.16,,0.015625,75,0
443769965568,17,24196.16,,0.04296875,75,0
443769965824,16,24196.16,,0.0234375,74,0
443769966080,13,20982.399999999998,,0.01953125,74,0
443769966336,12,20982.399999999998,,0.0234375,74,0
443769966592,11,20982.399999999998,,0.02734375,73,0
443769966848,12,20982.399999999998,,0.03125,72,0
443769967104,12,20982.399999999998,,0.05859375,71,0
443769967360,12,20982.399999999998,,0.015625,70,0
443769967616,12,20982.399999999998,,0.05078125,70,0
443769967872,12,19986.399999999998,,0.06640625,70,0
443769968128,11,19986.399999999998,,0.046875,69,0
443769968384,10,19986.399999999998,,0.05078125,70,0
443769968640,10,19986.399999999998,,0.01953125,71,0
443769968896,10,19986.399999999998,,0.0546875,71,0
443769969152,10,19986.399999999998,,0.0703125,71,0
443769969408,10,19986.399999999998,,0.09375,69,0
443769969664,10,19986.399999999998,,0.046875,68,0
443769969920,10,19986.399999999998,,0.07421875,67,0
443769970176,10,16467.2,,0.0546875,68,0
443769970432,9,16467.2,,0.0234375,68,0
443769970688,9,16467.2,,0.0234375,68,0
443769970944,9,16467.2,,0.0390625,69,0
443769971200,9,16467.2,,0.02734375,68,0
443769971456,9,16467.2,,0.02734375,68,0
443769971712,9,16467.2,,0.02734375,67,0
443769971968,9,16467.2,,0.0234375,68,0
443769972224,9,16467.2,,0.015625,68,0
443769972480,9,16467.2,,0.03515625,68,0
443769972736,9,16228.16,,0.0859375,68,0
443769972992,8,16228.16,,0.03515625,68,0
443769973248,8,16228.16,,0.0546875,68,0
443769973504,8,16228.16,,0.04296875,68,0
443769973760,8,16228.16,,0.05859375,69,0
443769974016,8,16228.16,,0.09765625,69,0
443769974272,8,16228.16,,0.0234375,69,0
443769974528,8,16228.16,,0.01953125,70,0
443769974784,8,16228.16,,0.0,71,0
443769975040,8,16228.16,,0.0,71,0
443769975296,8,16228.16,,0.0,70,0
443769975552,8,16228.16,,0.0,69,0
443769975808,8,16228.16,,0.0,68,0
443769976064,8,16228.16,,0.0,67,0
443769976320,8,16228.16,,0.0,66,0
443769976576,8,16228.16,,0.0,66,0
443769976832,8,16228.16,,0.0,66,0
443769977088,7,14501.759999999998,,0.015625,65,0
443769977344,7,14501.759999999998,,0.03515625,64,0
443769977600,6,14501.759999999998,,0.05078125,63,0
443769977856,6,14501.759999999998,,0.02734375,63,0
443769978112,6,14501.759999999998,,0.015625,63,0
443769978368,6,14501.759999999998,,0.015625,63,0
443769978624,6,14501.759999999998,,0.015625,63,0
443769978880,6,14501.759999999998,,0.01953125,63,0
443769979136,6,13505.76,,0.03125,63,0
443769979392,6,13505.76,,0.14453125,64,0
443769979648,6,13505.76,,0.05078125,65,0
443769979904,6,13505.76,,0.0703125,65,0
443769980160,6,13505.76,,0.078125,68,0
443769980416,6,13505.76,,0.0234375,70,0
443769980672,6,13505.76,,0.0,73,0
443769980928,6,11766.08,,0.0,76,0
443769981184,6,11766.08,,0.0,77,0
443769981440,6,11766.08,,0.0,78,0
443769981696,6,11766.08,,0.03515625,78,0
443769981952,6,11766.08,,0.0859375,77,0
443769982208,6,11766.08,,0.03125,77,0
443769982464,6,11766.08,,0.01953125,77,0
443769982720,6,11766.08,,0.015625,76,0
443769982976,7,11766.08,,0.0,76,0
443769983232,7,11766.08,,0.0,75,0
443769983488,7,11766.08,,0.0,74,0
443769983744,6,11766.08,,0.0,72,0
443769984000,6,10876.32,,0.0234375,71,0
443769984256,6,10876.32,,0.05078125,70,0
443769984512,7,10876.32,,0.0234375,69,0
443769984768,7,10876.32,,0.0234375,69,0
443769985024,7,10876.32,,0.0234375,69,0
443769985280,7,10876.32,,0.015625,69,0
443769985536,7,10876.32,,0.0546875,69,0
443769985792,7,13080.8,,0.03125,70,0
443769986048,7,13080.8,,0.0234375,71,0
443769986304,7,13080.8,,0.015625,71,0
443769986560,7,13080.8,,0.015625,72,0
443769986816,7,13080.8,,0.015625,72,0
443769987072,7,13080.8,,0.015625,73,0
443769987328,7,13080.8,,0.01953125,73,0
443769987584,7,11673.119999999999,,0.0390625,74,0
443769987840,7,11673.119999999999,,0.0234375,74,0
443769988096,7,11673.119999999999,,0.0234375,74,0
443769988352,7,11673.119999999999,,0.015625,74,0
443769988608,7,11673.119999999999,,0.015625,75,0
443769988864,7,11673.119999999999,,0.015625,74,0
443769989120,7,11673.119999999999,,0.015625,74,0
443769989376,7,11673.119999999999,,0.01953125,73,0
443769989632,7,11673.119999999999,,0.015625,73,0
443769989888,7,11673.119999999999,,0.01953125,73,0
443769990144,7,11673.119999999999,,0.0,73,0
443769990400,7,11673.119999999999,,0.0,74,0
443769990656,7,11673.119999999999,,0.015625,74,0
443769990912,7,13917.439999999999,,0.0390625,75,0
443769991168,8,13917.439999999999,,0.03125,75,0
443769991424,8,13917.439999999999,,0.015625,74,0
443769991680,8,13917.439999999999,,0.01953125,73,0
443769991936,8,13917.439999999999,,0.0234375,73,0
443769992192,8,13917.439999999999,,0.015625,73,0
443769992448,8,13917.439999999999,,0.0390625,73,0
443769992704,8,13917.439999999999,,0.01953125,74,0
443769992960,8,13917.439999999999,,0.0390625,75,0
443769993216,8,13917.439999999999,,0.03125,77,0
443769993472,8,13917.439999999999,,0.01953125,77,0
443769993728,8,13917.439999999999,,0.01953125,79,0
443769993984,8,13917.439999999999,,0.0390625,80,0
443769994240,8,13917.439999999999,,0.03515625,83,0
443769994496,8,13917.439999999999,,0.02734375,84,0
443769994752,8,13917.439999999999,,0.046875,87,0
443769995008,8,13917.439999999999,,0.08203125,88,0
443769995264,8,13771.359999999999,,0.01953125,90,0
443769995520,7,13771.359999999999,,0.046875,91,0
443769995776,7,13771.359999999999,,0.0390625,91,0
443769996032,6,13771.359999999999,,0.0234375,92,0
443769996288,6,13771.359999999999,,0.04296875,93,0
443769996544,6,13771.359999999999,,0.06640625,94,0
443769996800,7,13771.359999999999,,0.0390625,93,0
443769997056,7,13200.32,,0.01953125,91,0
443769997312,7,13200.32,,0.0,89,0
443769997568,6,13200.32,,0.015625,88,0
443769997824,6,13200.32,,0.0,87,0
443769998080,6,13200.32,,0.0,86,0
443769998336,6,13200.32,,0.0,84,0
443769998592,6,13200.32,,0.0,83,0
443769998848,6,13200.32,,0.0,81,0
443769999104,6,13200.32,,0.0,79,0
443769999360,6,13200.32,,0.0,76,0
443769999616,6,13200.32,,0.0,74,0
443769999872,6,13200.32,,0.0,73,0
