time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
443769968896,23,27888.0,,0.19140625,106,0
443769969152,23,21925.28,,0.203125,106,0
443769969408,22,21925.28,,0.26171875,106,0
443769969664,22,23346.239999999998,,0.15625,104,0
443769969920,22,23346.239999999998,,0.03515625,103,0
443769970176,22,23346.239999999998,,0.03125,103,0
443769970432,22,23160.32,,0.02734375,102,0
443769970688,22,23160.32,,0.0234375,102,0
443769970944,22,23160.32,,0.046875,102,0
443769971200,21,21925.28,,0.15234375,103,0
443769971456,21,21925.28,,0.1640625,104,0
443769971712,21,21925.28,,0.296875,106,0
443769971968,21,27622.399999999998,,0.1328125,109,0
443769972224,22,27622.399999999998,,0.203125,109,0
443769972480,22,27622.399999999998,,0.28125,109,0
443769972736,22,27463.039999999997,,0.03515625,110,0
443769972992,22,28166.879999999997,,0.02734375,110,0
443769973248,23,21301.12,,0.10546875,110,0
443769973504,25,21301.12,,0.05859375,110,0
443769973760,26,24581.28,,0.11328125,109,0
443769974016,26,24581.28,,0.08203125,109,0
443769974272,27,24541.44,,0.0703125,110,0
443769974528,27,24541.44,,0.12109375,111,0
443769974784,28,24541.44,,0.10546875,112,0
443769975040,28,25165.6,,0.1328125,113,0
443769975296,28,25099.199999999997,,0.140625,114,0
443769975552,30,25099.199999999997,,0.22265625,115,0
443769975808,31,25099.199999999997,,0.36328125,115,0
443769976064,32,33027.36,,0.18359375,115,0
443769976320,32,33027.36,,0.2734375,115,0
443769976576,31,31128.32,,0.0546875,114,0
443769976832,30,31128.32,,0.14453125,114,0
443769977088,30,31128.32,,0.11328125,114,0
443769977344,29,36148.159999999996,,0.0859375,114,0
443769977600,28,36148.159999999996,,0.0234375,114,0
443769977856,28,36148.159999999996,,0.0546875,115,0
443769978112,27,30889.28,,0.0390625,116,0
443769978368,25,30889.28,,0.02734375,117,0
443769978624,24,30889.28,,0.0390625,119,0
443769978880,24,31221.28,,0.0390625,121,0
443769979136,24,31221.28,,0.0390625,122,0
443769979392,23,30384.64,,0.03515625,123,0
443769979648,24,30384.64,,0.03125,122,0
443769979904,24,28671.52,,0.01953125,120,0
443769980160,24,28671.52,,0.03515625,118,0
443769980416,24,23771.199999999997,,0.0390625,115,0
443769980672,24,23771.199999999997,,0.0,113,0
443769980928,25,24966.399999999998,,0.0234375,112,0
443769981184,26,21208.16,,0.0390625,111,0
443769981440,26,21208.16,,0.015625,110,0
443769981696,27,21208.16,,0.015625,109,0
443769981952,27,21208.16,,0.03515625,109,0
443769982208,27,20344.96,,0.08203125,110,0
443769982464,27,20344.96,,0.01953125,110,0
443769982720,27,22443.2,,0.0234375,111,0
443769982976,28,22443.2,,0.05859375,110,0
443769983232,28,22443.2,,0.03125,109,0
443769983488,28,22443.2,,0.04296875,109,0
443769983744,28,20079.36,,0.0234375,108,0
443769984000,27,20105.92,,0.015625,107,0
443769984256,26,20105.92,,0.015625,106,0
443769984512,26,20105.92,,0.12890625,105,0
443769984768,26,20105.92,,0.09765625,105,0
443769985024,25,23492.32,,0.12109375,105,0
443769985280,24,23492.32,,0.07421875,105,0
443769985536,23,24328.96,,0.03515625,105,0
443769985792,22,24328.96,,0.04296875,105,0
443769986048,23,24328.96,,0.0234375,106,0
443769986304,22,21925.28,,0.10546875,106,0
443769986560,22,21925.28,,0.12890625,108,0
443769986816,21,21925.28,,0.10546875,108,0
443769987072,21,21925.28,,0.125,109,0
443769987328,21,21965.12,,0.234375,109,0
443769987584,21,21965.12,,0.1953125,109,0
443769987840,21,21965.12,,0.14453125,107,0
443769988096,21,26719.359999999997,,0.15625,106,0
443769988352,20,26719.359999999997,,0.19140625,104,0
443769988608,20,26719.359999999997,,0.234375,104,0
443769988864,20,32960.96,,0.06640625,102,0
443769989120,20,32960.96,,0.06640625,102,0
443769989376,20,32960.96,,0.22265625,100,0
443769989632,21,32960.96,,0.2265625,99,0
443769989888,21,32960.96,,0.05078125,98,0
443769990144,21,32960.96,,0.08203125,98,0
443769990400,20,28591.84,,0.078125,99,0
443769990656,18,28591.84,,0.0546875,100,0
443769990912,17,27011.52,,0.11328125,104,0
443769991168,17,27011.52,,0.08203125,106,0
443769991424,18,27980.96,,0.03125,108,0
443769991680,18,27980.96,,0.03515625,112,0
443769991936,18,27980.96,,0.015625,113,0
443769992192,18,27980.96,,0.0703125,113,0
443769992448,18,28844.16,,0.07421875,112,0
443769992704,18,28844.16,,0.01953125,111,0
443769992960,18,28844.16,,0.0,110,0
443769993216,18,28844.16,,0.0,109,0
443769993472,18,28844.16,,0.0,107,0
443769993728,18,28844.16,,0.015625,107,0
443769993984,18,28844.16,,0.01953125,106,0
443769994240,17,24660.96,,0.05078125,107,0
443769994496,16,24660.96,,0.08984375,107,0
443769994752,15,20092.64,,0.09375,108,0
443769995008,16,20092.64,,0.10546875,107,0
443769995264,16,18392.8,,0.22265625,107,0
443769995520,16,18392.8,,0.2421875,106,0
443769995776,17,25232.0,,0.23828125,106,0
443769996032,19,25232.0,,0.1953125,105,0
443769996288,20,24793.76,,0.0546875,104,0
443769996544,21,24793.76,,0.125,103,0
443769996800,20,24793.76,,0.03125,103,0
443769997056,20,21035.52,,0.0390625,102,0
443769997312,20,20942.559999999998,,0.03515625,103,0
443769997568,21,20942.559999999998,,0.015625,104,0
443769997824,23,28113.76,,0.05859375,105,0
443769998080,27,28113.76,,0.0859375,107,0
443769998336,29,28804.32,,0.19140625,110,0
443769998592,31,27423.199999999997,,0.14453125,112,0
443769998848,31,27423.199999999997,,0.07421875,113,0
443769999104,31,22390.079999999998,,0.1171875,113,0
443769999360,32,22390.079999999998,,0.08984375,112,0
443769999616,33,25656.96,,0.18359375,111,0
443769999872,33,25656.96,,0.05859375,109,0
443770000128,32,25656.96,,0.1171875,108,0
443770000384,32,26241.28,,0.23046875,107,0
443770000640,31,26241.28,,0.19921875,105,0
443770000896,30,27024.8,,0.08203125,104,0
443770001152,30,27024.8,,0.2109375,103,0
443770001408,30,28326.239999999998,,0.3828125,104,0
443770001664,30,28326.239999999998,,0.26171875,105,0
443770001920,30,29880.0,,0.421875,106,0
443770002176,30,29880.0,,0.4765625,108,0
443770002432,30,31208.0,,0.37109375,109,0
443770002688,30,31208.0,,0.234375,110,62
443770002944,29,31208.0,,0.19921875,110,98
443770003200,28,26865.44,,0.11328125,111,102
443770003456,27,26865.44,,0.0546875,110,79
443770003712,25,26254.559999999998,,0.0234375,110,35
443770003968,25,26254.559999999998,,0.08203125,110,0
443770004224,26,28698.079999999998,,0.11328125,109,0
443770004480,28,31194.719999999998,,0.26953125,109,0
443770004736,29,31194.719999999998,,0.18359375,109,0
443770004992,30,31818.879999999997,,0.09765625,109,0
443770005248,30,31818.879999999997,,0.02734375,110,0
443770005504,30,29906.559999999998,,0.015625,110,0
443770005760,30,29906.559999999998,,0.01953125,110,0
443770006016,30,28498.879999999997,,0.0234375,111,0
443770006272,29,28498.879999999997,,0.01953125,111,0
443770006528,29,28498.879999999997,,0.015625,112,0
443770006784,29,30902.559999999998,,0.015625,112,0
443770007040,30,30902.559999999998,,0.015625,111,0
443770007296,31,26347.52,,0.0,110,0
443770007552,31,26347.52,,0.015625,110,0
443770007808,30,24674.239999999998,,0.109375,110,0
443770008064,29,24674.239999999998,,0.15625,109,0
443770008320,29,22761.92,,0.078125,108,0
443770008576,28,22761.92,,0.1640625,108,0
443770008832,28,22761.92,,0.22265625,107,0
443770009088,27,21792.48,,0.17578125,107,0
443770009344,27,21805.76,,0.08984375,108,0
443770009600,27,21805.76,,0.078125,108,0
443770009856,28,22576.0,,0.125,108,0
443770010112,28,22576.0,,0.19140625,108,0
443770010368,29,21965.12,,0.06640625,109,0
443770010624,30,24328.96,,0.09375,109,0
443770010880,31,24328.96,,0.109375,110,0
443770011136,31,24328.96,,0.0859375,110,0
443770011392,31,26281.12,,0.03515625,111,0
443770011648,31,25603.84,,0.0234375,112,0
443770011904,32,25603.84,,0.1328125,113,0
443770012160,33,26759.199999999997,,0.0390625,115,0
443770012416,33,26759.199999999997,,0.02734375,115,0
443770012672,33,26214.719999999998,,0.01953125,115,0
443770012928,33,26214.719999999998,,0.0,114,0
443770013184,33,24315.68,,0.015625,114,0
443770013440,32,24315.68,,0.09765625,113,0
443770013696,32,24315.68,,0.140625,113,0
443770013952,31,24129.76,,0.21484375,112,0
443770014208,31,23000.96,,0.02734375,112,0
443770014464,30,23000.96,,0.046875,112,0
443770014720,30,24793.76,,0.03125,113,0
443770014976,31,24793.76,,0.0390625,114,0
443770015232,31,24036.8,,0.11328125,113,0
443770015488,31,24036.8,,0.1015625,112,0
443770015744,31,24581.28,,0.0703125,112,0
443770016000,30,24581.28,,0.05078125,111,0
443770016256,30,24581.28,,0.0234375,110,0
443770016512,30,24036.8,,0.03125,109,0
443770016768,28,24036.8,,0.03515625,108,0
443770017024,27,24036.8,,0.16015625,108,0
443770017280,26,23014.239999999998,,0.14453125,109,0
443770017536,27,23864.16,,0.0234375,110,0
443770017792,28,26493.6,,0.015625,110,0
443770018048,29,26493.6,,0.0234375,109,0
443770018304,30,25391.36,,0.015625,108,0
443770018560,29,25391.36,,0.015625,107,0
443770018816,29,25391.36,,0.0234375,106,0
443770019072,29,26599.84,,0.015625,105,0
443770019328,29,26042.079999999998,,0.0,105,0
443770019584,29,26042.079999999998,,0.01953125,103,0
443770019840,30,28605.12,,0.01953125,102,0
443770020096,32,28605.12,,0.01953125,102,0
443770020352,34,31832.16,,0.01953125,102,0
443770020608,35,31115.039999999997,,0.015625,102,0
443770020864,35,31115.039999999997,,0.0703125,102,0
443770021120,35,31115.039999999997,,0.1171875,102,0
443770021376,35,31115.039999999997,,0.08203125,102,0
443770021632,34,26440.48,,0.09765625,102,0
443770021888,31,26440.48,,0.046875,102,0
443770022144,29,24355.52,,0.05078125,101,0
443770022400,28,24355.52,,0.15234375,101,0
443770022656,28,23253.28,,0.171875,102,0
443770022912,29,23253.28,,0.10546875,102,0
443770023168,29,20318.399999999998,,0.05078125,104,0
443770023424,29,20198.879999999997,,0.12109375,106,0
443770023680,29,19070.079999999998,,0.17578125,108,0
443770023936,30,19070.079999999998,,0.234375,110,0
443770024192,30,19070.079999999998,,0.42578125,112,0
443770024448,30,20066.079999999998,,0.49609375,114,0
443770024704,30,20066.079999999998,,0.31640625,114,0
443770024960,30,26081.92,,0.078125,114,0
443770025216,31,26081.92,,0.11328125,114,39
443770025472,32,26081.92,,0.1328125,114,0
443770025728,33,24514.879999999997,,0.14453125,114,0
443770025984,32,24514.879999999997,,0.2109375,113,0
443770026240,31,26042.079999999998,,0.4453125,112,0
443770026496,30,26042.079999999998,,0.39453125,112,49
443770026752,29,29813.6,,0.265625,110,54
443770027008,29,29813.6,,0.33984375,109,51
443770027264,29,30039.359999999997,,0.44140625,108,55
443770027520,29,30039.359999999997,,0.3203125,107,76
443770027776,29,31765.76,,0.30859375,107,92
443770028032,28,31765.76,,0.359375,107,95
443770028288,27,31526.719999999998,,0.26953125,107,93
443770028544,27,31526.719999999998,,0.2578125,108,93
443770028800,27,31526.719999999998,,0.08203125,108,94
443770029056,27,31526.719999999998,,0.046875,109,79
443770029312,27,31526.719999999998,,0.05078125,110,38
443770029568,26,26241.28,,0.0625,112,0
443770029824,24,26241.28,,0.08984375,113,0
443770030080,23,26241.28,,0.12890625,115,0
443770030336,22,31686.079999999998,,0.10546875,116,0
443770030592,22,31686.079999999998,,0.04296875,116,0
443770030848,22,31686.079999999998,,0.140625,115,0
443770031104,23,31686.079999999998,,0.0859375,115,0
443770031360,22,32230.559999999998,,0.06640625,113,0
443770031616,22,32230.559999999998,,0.20703125,112,0
443770031872,22,32230.559999999998,,0.24609375,111,0
443770032128,21,32230.559999999998,,0.125,110,0
443770032384,21,32230.559999999998,,0.2265625,109,0
443770032640,21,27170.879999999997,,0.16015625,109,0
443770032896,20,27170.879999999997,,0.12109375,109,0
443770033152,19,27170.879999999997,,0.13671875,110,0
443770033408,18,27263.84,,0.234375,110,0
443770033664,18,27263.84,,0.2109375,110,0
443770033920,18,25404.64,,0.11328125,110,0
443770034176,18,25404.64,,0.0859375,111,0
443770034432,17,25404.64,,0.2734375,111,0
443770034688,17,25404.64,,0.1328125,111,0
443770034944,17,25404.64,,0.08984375,111,0
443770035200,17,25404.64,,0.1171875,111,0
443770035456,17,22881.44,,0.10546875,112,0
443770035712,16,22881.44,,0.1484375,113,0
443770035968,15,24992.96,,0.16796875,114,0
443770036224,16,24992.96,,0.3203125,114,0
443770036480,16,24992.96,,0.3671875,115,0
443770036736,17,22522.879999999997,,0.34765625,115,0
443770036992,17,22031.52,,0.296875,115,0
443770037248,18,22031.52,,0.2734375,114,54
443770037504,18,22031.52,,0.13671875,114,94
443770037760,19,25710.079999999998,,0.26171875,112,107
443770038016,20,25710.079999999998,,0.19140625,111,94
443770038272,21,25710.079999999998,,0.046875,111,67
443770038528,21,25710.079999999998,,0.06640625,111,0
443770038784,21,25710.079999999998,,0.02734375,111,0
443770039040,21,26413.92,,0.03125,110,0
443770039296,20,26413.92,,0.05859375,110,0
443770039552,19,26413.92,,0.234375,110,0
443770039808,19,25245.28,,0.15234375,110,0
443770040064,18,25245.28,,0.2109375,110,32
443770040320,18,25245.28,,0.1328125,111,34
443770040576,18,25245.28,,0.1171875,109,32
443770040832,18,28857.44,,0.06640625,108,0
443770041088,19,28857.44,,0.16015625,105,0
443770041344,20,26719.359999999997,,0.1796875,105,0
443770041600,20,26719.359999999997,,0.140625,105,0
443770041856,20,26719.359999999997,,0.08984375,104,0
443770042112,20,26719.359999999997,,0.046875,104,0
443770042368,20,26719.359999999997,,0.015625,103,0
443770042624,20,26719.359999999997,,0.02734375,103,0
443770042880,19,21912.0,,0.06640625,103,0
443770043136,18,21912.0,,0.1484375,105,0
443770043392,17,22217.44,,0.12109375,106,0
443770043648,16,22217.44,,0.21484375,106,0
443770043904,16,22190.879999999997,,0.14453125,106,0
443770044160,17,22190.879999999997,,0.10546875,105,0
443770044416,18,20066.079999999998,,0.09375,103,0
443770044672,19,20066.079999999998,,0.18359375,102,0
443770044928,20,23518.879999999997,,0.25390625,101,0
443770045184,21,23518.879999999997,,0.328125,101,0
443770045440,22,23545.44,,0.22265625,100,0
443770045696,23,24143.039999999997,,0.03515625,99,0
443770045952,26,33279.68,,0.01953125,99,0
443770046208,31,33279.68,,0.02734375,98,0
443770046464,35,30809.6,,0.015625,98,0
443770046720,37,30809.6,,0.046875,99,0
443770046976,37,29826.879999999997,,0.06640625,101,0
443770047232,36,29826.879999999997,,0.015625,101,0
443770047488,36,29826.879999999997,,0.0,102,0
443770047744,36,29202.719999999998,,0.01953125,102,0
443770048000,35,29202.719999999998,,0.01953125,102,0
443770048256,33,25364.8,,0.0,103,0
443770048512,32,25364.8,,0.0,103,0
443770048768,32,25364.8,,0.015625,103,0
443770049024,32,25364.8,,0.015625,104,0
443770049280,31,20716.8,,0.0,103,0
443770049536,29,20716.8,,0.0,103,0
443770049792,28,19561.44,,0.0,102,0
443770050048,27,19561.44,,0.02734375,102,0
443770050304,26,19561.44,,0.01953125,102,0
443770050560,26,19614.559999999998,,0.0,100,0
443770050816,25,19614.559999999998,,0.015625,100,0
443770051072,25,19614.559999999998,,0.0234375,101,0
443770051328,24,19614.559999999998,,0.01953125,102,0
443770051584,24,17250.719999999998,,0.0390625,103,0
443770051840,22,17250.719999999998,,0.03515625,105,0
443770052096,21,17941.28,,0.0625,106,0
443770052352,20,17941.28,,0.015625,105,0
443770052608,20,16600.0,,0.02734375,105,0
443770052864,21,16600.0,,0.0234375,105,0
443770053120,21,16600.0,,0.08984375,105,0
443770053376,21,15192.32,,0.0234375,103,0
